#	Date	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/1M Pop	Deaths/1M Pop	Total Tests	Tests/1M Pop	Population	Continent
36	27:11:2021	Vietnam	1,197,404	+16,067	24,692 	+148	956,924	+1,668	215,788	5,383	12,148	251	67,526,948	685,062	98,570,511	Asia
37	27:11:2021	Portugal	1,139,810	+3,364	18,405 	+12	1,069,716	+2,543	51,689	104	112,243	1,812	20,844,492	2,052,663	10,154,853	Europe
38	27:11:2021	Austria	1,132,805	+11,671	12,349 	+65	968,185	+11,697	152,271	608	124,776	1,360	109,556,932	12,067,465	9,078,703	Europe
39	27:11:2021	Hungary	1,068,888		33,866 		862,534		172,488	695	111,044	3,518	8,298,820	862,142	9,625,818	Europe
40	27:11:2021	Switzerland	982,290		11,488 	+2	856,642	+1,798	114,160	179	112,343	1,314	12,159,978	1,390,719	8,743,663	Europe
41	27:11:2021	Kazakhstan	969,245	+905	12,651 	+16	933,107	+1,311	23,487	528	50,766	663	11,575,012	606,259	19,092,532	Asia
42	27:11:2021	Cuba	962,067	+183	8,300 	+1	952,739	+231	1,028	30	85,012	733	11,045,585	976,027	11,316,884	North America
43	27:11:2021	Morocco	949,648	+116	14,774 	+1	931,883	+171	2,991	347	25,307	394	10,403,984	277,249	37,525,770	Africa
44	27:11:2021	Jordan	939,293	+2,674	11,515 	+29	878,156	+1,207	49,622	1,037	90,792	1,113	12,015,838	1,161,445	10,345,598	Asia
45	27:11:2021	Greece	920,683	+5,859	17,861 	+82	821,280	+7,099	81,542	641	88,943	1,725	35,377,491	3,417,662	10,351,371	Europe
46	27:11:2021	Georgia	835,306	+4,058	11,871 	+61	774,458	+2,157	48,977		209,961	2,984	11,449,856	2,878,015	3,978,387	Asia
47	27:11:2021	Nepal	820,724	+197	11,521 	+3	802,047	+325	7,156		27,474	386	4,604,396	154,131	29,873,223	Asia
48	27:11:2021	UAE	741,858	+68	2,145 		736,699	+98	3,014		73,755	213	100,534,447	9,995,037	10,058,437	Asia
49	27:11:2021	Tunisia	717,163	+175	25,363 	+1	690,707	+136	1,093	58	59,801	2,115	3,166,844	264,068	11,992,545	Africa
50	27:11:2021	Bulgaria	688,628	+1,218	28,043 	+47	555,443	+1,147	105,142	783	100,167	4,079	6,498,924	945,327	6,874,790	Europe
51	27:11:2021	Lebanon	666,768	+1,515	8,701 	+8	631,294	+655	26,773	186	98,308	1,283	4,795,578	707,061	6,782,411	Asia
52	27:11:2021	Slovakia	660,386	+9,152	14,228 	+51	540,119	+7,174	106,039	545	120,875	2,604	4,528,103	828,812	5,463,364	Europe
53	27:11:2021	Belarus	650,168	+1,696	5,041 	+15	636,653	+2,000	8,474		68,838	534	10,342,898	1,095,072	9,444,948	Europe
54	27:11:2021	Guatemala	617,495	+458	15,917 	+19	599,826	+507	1,752	5	33,594	866	3,107,294	169,047	18,381,240	North America
55	27:11:2021	Croatia	599,977	+5,502	10,695 	+51	554,729	+5,629	34,553	325	147,428	2,628	3,411,379	838,255	4,069,620	Europe
56	27:11:2021	Azerbaijan	584,121	+1,617	7,789 	+22	549,333	+1,979	26,999		56,889	759	5,509,701	536,604	10,267,726	Asia
57	27:11:2021	Costa Rica	566,560		7,287 		543,875		15,398	92	109,808	1,412	2,715,029	526,214	5,159,549	North America
58	27:11:2021	Sri Lanka	561,778	+719	14,278 	+20	529,240	+434	18,260		26,081	663	5,626,024	261,195	21,539,591	Asia
59	27:11:2021	Ireland	556,319	+4,791	5,652 		434,095	+2,608	116,572	121	110,923	1,127	8,762,233	1,747,082	5,015,353	Europe
60	27:11:2021	Saudi Arabia	549,671	+29	8,832 	+2	538,824	+40	2,015	44	15,451	248	31,078,369	873,578	35,575,968	Asia
61	27:11:2021	Bolivia	535,115	+1,359	19,137 	+16	490,521	+689	25,457	220	44,979	1,609	2,578,215	216,713	11,896,887	South America
62	27:11:2021	Ecuador	524,432		33,128 		443,880		47,424	759	29,103	1,838	1,991,800	110,535	18,019,649	South America
63	27:11:2021	Myanmar	521,211	+505	19,079 	+12	495,408	+660	6,724		9,490	347	5,523,097	100,561	54,922,975	Asia
64	27:11:2021	Panama	477,306	+210	7,361 	+1	467,285	+213	2,660	20	108,227	1,669	4,224,325	957,845	4,410,239	North America
65	27:11:2021	Denmark	474,637	+3,744	2,863 	+13	403,118		68,656	50	81,540	492	92,864,721	15,953,654	5,820,906	Europe
66	27:11:2021	Lithuania	466,678	+2,087	6,673 	+22	431,891	+3,567	28,114	131	174,865	2,500	6,100,515	2,285,875	2,668,788	Europe
67	27:11:2021	Paraguay	462,908	+53	16,461 	+2	445,588	+65	859	42	63,799	2,269	1,941,408	267,569	7,255,735	South America
68	27:11:2021	S. Korea	436,968	+4,067	3,492 	+52	390,141	+6,590	43,335	634	8,513	68	15,804,065	307,884	51,331,289	Asia
69	27:11:2021	Venezuela	430,046	+686	5,131 	+7	417,137	+904	7,778	681	15,184	181	3,359,014	118,599	28,322,512	South America
70	27:11:2021	Palestine	429,333	+125	4,524 	+3	422,114	+149	2,695	38	81,499	859	2,720,854	516,492	5,267,950	Asia
71	27:11:2021	Slovenia	415,898	+2,224	5,165 	+23	370,639	+3,644	40,094	196	200,014	2,484	1,924,394	925,483	2,079,340	Europe
72	27:11:2021	Kuwait	413,266	+21	2,465 		410,575	+29	226		94,800	565	5,268,253	1,208,494	4,359,355	Asia
73	27:11:2021	Dominican Republic	406,511	+490	4,204 	+2	398,726	+853	3,581	201	36,952	382	2,444,399	222,200	11,000,911	North America
